402430 403002 -
403124 403309 +
403675 404688 +
404685 405503 +
405496 407490 -
407623 408123 +
408297 408776 +
408801 410300 +
410442 411059 +
411237 412172 +
412169 412885 +
413107 414882 +
415025 416146 -
416136 416582 -
416735 419461 +
419465 420559 +
420606 421052 -
421288 421784 -
421941 422687 -
422684 424525 -
424901 425218 -
425412 425771 -
426003 427118 -
427352 428566 -
429083 429814 -
430487 430954 -
431382 432398 -
432682 432957 -
433235 434983 +
435097 435870 +
435970 436152 +
436305 437543 +
437600 439003 +
439102 440910 -
441171 441347 +
441608 442456 +
442466 442820 +
443039 444340 +
444418 445761 -
445790 446035 -
446095 447383 -
447522 449102 -
449303 449809 -
450010 450189 -
450305 451288 +
451272 452051 +
452054 453400 +
453400 454374 +
454503 455642 +
455655 457520 +
457477 458454 -
458578 459666 -
459714 460814 -
461065 461520 +
461498 462442 -
462415 463275 -
463266 463781 -
464003 464296 +
464439 464562 +
464658 466397 +
466420 466896 +
466946 468007 -
468102 469856 -
469883 470152 -
470369 471949 -
471946 472389 -
472406 473605 -
473634 475766 -
475766 476848 -
477239 478333 +
478311 479231 -
479215 479922 -
479968 480330 -
480344 483016 -
482973 484277 -
484378 486120 -
486880 487815 +
487807 488175 -
488186 488641 -
488715 489593 +
489732 492119 +
492191 493573 +
493566 493931 -
494179 496653 +
496731 498020 -
498025 499011 -
499004 500032 -
500207 501247 +
501296 502378 -
502400 502915 -
503010 505382 -
505747 506349 -
506444 507451 +
507468 508394 +
508400 509146 +
509302 509541 +
509660 510073 -
510439 513216 -
513326 513934 -
513965 514495 -
514636 516120 -
516136 517350 -
517446 518594 +
518941 521076 +
521103 522515 +
522567 524099 +
524102 524600 +
524972 525766 +
525763 527169 -
527189 528238 -
528721 529746 +
529756 530421 +
530418 531236 +
531383 531892 +
532156 532503 +
532507 534924 +
534940 537444 +
537449 538069 +
538060 538956 +
538928 539659 -
539968 540828 +
540843 541820 +
541972 542367 -
542392 543177 -
543420 544115 -
544678 545571 +
545568 546146 +
546159 547049 -
547362 548198 -
548262 548996 -
549253 549753 +
550314 551171 +
551174 552046 +
552046 552915 +
553145 553984 +
553987 554853 +
554853 555734 +
555745 557151 -
557250 557408 +
557466 558977 +
558980 559660 +
559892 560341 +
560355 560759 +
560805 561662 -
561748 562389 -
562784 563206 +
563424 563858 +
563988 565130 +
565468 566667 +
566687 567463 -
567522 569060 -
569146 569601 -
569594 571207 -
571183 571947 -
572122 572817 +
572940 573119 +
573242 574135 +
574406 575113 +
575110 575790 +
575800 577035 -
577253 577954 +
577947 578357 +
578393 578797 -
578838 579509 -
579708 579947 -
580046 580426 -
580926 581277 -
581433 581798 -
582235 582645 -
583061 583606 -
583824 584942 -
585242 585721 +
585718 586404 -
586692 587129 +
587285 588544 +
588647 589861 +
590245 591432 +
591561 592880 +
592927 593928 -
595133 595327 -
595758 597410 -
597743 599155 -
599199 599948 -
600033 600230 -
600358 600546 -
600558 601356 -
601862 602650 -
602647 603501 -
603494 604348 -
604379 605323 -
605616 607202 -
607479 608786 -
608842 610425 -
610576 612174 -
612120 613154 -
613238 613681 +
613730 614383 +
614373 615053 +
615087 616445 -
616536 619964 -
619961 621253 -
621316 622116 -
622293 623468 -
623955 624605 +
624592 625149 +
625172 625675 +
625672 627036 +
627193 627688 +
628078 628425 +
628429 628695 +
629022 629876 +
629960 632416 -
632587 633051 -
633443 633971 +
633980 634579 +
634700 635046 +
635030 635302 +
636096 636413 -
636458 637045 -
637042 637546 -
637651 638037 -
638691 639656 +
639749 640777 +
640964 641791 +
641795 643429 +
643760 644065 +
644102 644641 +
644808 645233 +
645456 645806 +
645882 646072 +
646373 647686 -
647683 650145 -
650313 651263 +
651436 652956 +
653131 657744 -
657875 659863 -
659873 661732 -
662005 662301 -
662344 662535 -
662643 662951 -
663192 664760 -
665002 667602 -
668230 669354 +
669474 669752 +
669763 670458 +
670455 670895 +
670906 671475 +
671546 672868 +
673312 674067 +
674165 676000 +
676119 676427 +
676469 678103 +
678233 679006 +
679003 679980 -
679984 681018 -
681322 682506 +
682511 683290 -
683424 684440 +
684479 686757 -
686958 687470 -
687480 688955 -
689600 691798 +
691843 693498 -
693498 693791 -
693788 694405 -
694402 695046 -
695102 695467 -
695495 696580 -
696594 696953 -
696944 698290 -
698305 699171 -
699161 700234 -
700473 700802 -
700883 701638 +
701835 703745 +
703783 706914 -
707710 708258 +
708406 709179 +
709191 710477 -
710805 711542 +
711693 712898 +
713057 714091 -
714102 715448 -
715639 716433 +
716415 717692 +
717728 718027 +
718080 719468 +
719562 721016 -
721257 726737 +
726778 729576 -
729597 732419 -
732553 733062 -
732995 733420 -
733515 735497 -
735488 736117 -
736102 737418 -
737423 739198 -
739192 739992 -
740041 740667 -
741065 741808 +
741817 742197 -
742256 743239 -
743348 747529 -
747553 751311 -
751448 751837 -
751881 752393 -
752409 753107 -
753134 753559 -
753666 754214 -
754219 754470 -
754614 755798 -
755995 756216 -
756511 757518 +
757527 757976 +
758482 760335 -
760668 761243 +
761515 762618 -
762912 764645 -
764917 766653 -
767027 767272 -
767348 767506 -
767925 769310 -
769407 770084 -
770087 770563 -
770565 771002 -
771053 771979 -
772061 772684 -
772869 774665 -
775025 775489 -
775595 776308 +
776274 777635 +
777613 778317 +
778539 778819 -
778802 779160 +
779350 779823 +
779833 781950 -
781982 782182 -
782371 784578 -
784802 787072 -
787356 789641 -
789872 792190 -
792546 793874 +
793939 794229 +
794355 796070 -
796071 796397 -
796390 797187 -
797160 798623 +
798732 800003 +
800036 802072 -
802109 803287 -
803323 803499 -
